9089,11,0
9086,13,1
9084,12,4
9079,17,4
9078,16,6
9076,18,6
9074,17,9
9073,17,10
9067,22,11
9062,25,13
9058,29,13
9052,33,15
9044,37,19
9022,58,20
9006,66,28
8987,79,34
8962,99,39
8940,111,49
8924,117,59
8894,136,70
8856,161,83
8821,176,103
8776,204,120
8732,230,138
8677,272,151
8620,297,183
8553,326,221
8482,362,256
8409,396,295
8311,455,334
8209,504,387
8105,561,434
8003,610,487
7897,649,554
7760,728,612
7604,810,686
7444,889,767
7279,962,859
7117,1023,960
6939,1089,1072
6753,1158,1189
6540,1265,1295
6336,1334,1430
6147,1373,1580
5958,1429,1713
5734,1524,1842
5514,1611,1975
5303,1644,2153
5095,1695,2310
4896,1726,2478
4690,1760,2650
4505,1735,2860
4294,1788,3018
4096,1783,3221
3935,1731,3434
3750,1755,3595
3591,1723,3786
3427,1705,3968
3293,1671,4136
3159,1637,4304
3027,1611,4462
2913,1562,4625
2793,1523,4784
2709,1461,4930
2614,1414,5072
2543,1344,5213
2455,1281,5364
2373,1227,5500
2302,1193,5605
2244,1138,5718
2183,1086,5831
2137,1037,5926
2068,1006,6026
2027,940,6133
1986,894,6220
1950,838,6312
1912,805,6383
1881,755,6464
1841,716,6543
1814,677,6609
1782,644,6674
1750,612,6738
1722,585,6793
1687,565,6848
1665,530,6905
1641,502,6957
1624,470,7006
1601,440,7059
1590,411,7099
1575,400,7125
1556,369,7175
1540,349,7211
1532,330,7238
1516,326,7258
1506,297,7297
1496,283,7321
1492,265,7343
1486,255,7359
1481,229,7390
1479,212,7409
1470,195,7435
1460,186,7454
1453,174,7473
1448,163,7489
1435,163,7502
1432,152,7516
1428,143,7529
1425,135,7540
1421,125,7554
1419,114,7567
1412,106,7582
1405,103,7592
1403,98,7599
1401,83,7616
1399,78,7623
1395,77,7628
1391,75,7634
1391,71,7638
1387,69,7644
1384,64,7652
1381,63,7656
1381,57,7662
1375,56,7669
1371,55,7674
1368,54,7678
1365,53,7682
1364,47,7689
1363,45,7692
1363,41,7696
1363,39,7698
1362,36,7702
1362,33,7705
1362,33,7705
1361,31,7708
1361,28,7711
1361,26,7713
1361,24,7715
1361,20,7719
1361,18,7721
1360,18,7722
1359,19,7722
1359,19,7722
1358,19,7723
1357,18,7725
1356,19,7725
1355,16,7729
1355,15,7730
1355,14,7731
1354,14,7732
1354,13,7733
1354,13,7733
1353,13,7734
1353,12,7735
1353,10,7737
1352,9,7739
1352,8,7740
1352,8,7740
1351,9,7740
1351,9,7740
1351,9,7740
1351,9,7740
1350,9,7741
1349,8,7743
1349,8,7743
1349,8,7743
1349,7,7744
1349,7,7744
1349,6,7745
1349,6,7745
1349,5,7746
1348,4,7748
1348,4,7748
1347,4,7749
1347,4,7749
1347,4,7749
1347,4,7749
1347,4,7749
1347,4,7749
1347,3,7750
1347,3,7750
1347,3,7750
1347,2,7751
1347,2,7751
1346,3,7751
1345,4,7751
1345,4,7751
1345,4,7751
1345,3,7752
1344,4,7752
1344,3,7753
1344,3,7753
1344,3,7753
1344,3,7753
1344,3,7753
1344,3,7753
1343,4,7753
1343,4,7753
1343,4,7753
1343,3,7754
1343,3,7754
1343,2,7755
1343,2,7755
1343,2,7755
1343,1,7756
1343,1,7756
1343,1,7756
1343,1,7756
1343,1,7756
1343,1,7756
1343,1,7756
1343,1,7756
1343,1,7756
1343,1,7756
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757
1343,0,7757


9977,22,1
9973,23,4
9968,24,8
9960,31,9
9954,35,11
9947,40,13
9933,48,19
9919,55,26
9904,64,32
9890,73,37
9873,84,43
9852,99,49
9838,109,53
9814,121,65
9791,134,75
9763,148,89
9733,165,102
9706,178,116
9671,202,127
9626,222,152
9593,228,179
9548,258,194
9491,286,223
9436,311,253
9374,352,274
9316,373,311
9247,408,345
9179,440,381
9112,462,426
9046,476,478
8961,497,542
8890,516,594
8819,537,644
8736,563,701
8662,583,755
8581,606,813
8510,610,880
8429,630,941
8368,643,989
8308,633,1059
8238,634,1128
8184,628,1188
8118,619,1263
8065,633,1302
8005,651,1344
7952,637,1411
7890,631,1479
7846,616,1538
7793,594,1613
7743,582,1675
7697,566,1737
7660,536,1804
7631,512,1857
7594,496,1910
7570,474,1956
7538,465,1997
7504,455,2041
7483,430,2087
7450,420,2130
7428,405,2167
7402,391,2207
7386,377,2237
7373,352,2275
7358,331,2311
7339,307,2354
7323,290,2387
7304,287,2409
7293,273,2434
7282,261,2457
7270,258,2472
7256,246,2498
7245,229,2526
7239,213,2548
7230,206,2564
7223,189,2588
7214,180,2606
7199,170,2631
7187,161,2652
7179,154,2667
7164,159,2677
7153,153,2694
7137,150,2713
7123,153,2724
7105,152,2743
7083,165,2752
7063,170,2767
7040,180,2780
7009,194,2797
6976,207,2817
6944,215,2841
6906,236,2858
6845,271,2884
6795,292,2913
6740,320,2940
6675,348,2977
6609,372,3019
6545,391,3064
6470,426,3104
6369,481,3150
6275,525,3200
6177,557,3266
6075,601,3324
5974,636,3390
5849,693,3458
5731,745,3524
5575,823,3602
5435,885,3680
5297,921,3782
5142,978,3880
4986,1028,3986
4823,1102,4075
4656,1145,4199
4480,1202,4318
4334,1247,4419
4188,1279,4533
4013,1325,4662
3874,1359,4767
3730,1363,4907
3604,1356,5040
3469,1325,5206
3346,1335,5319
3209,1342,5449
3088,1322,5590
2965,1317,5718
2860,1288,5852
2742,1294,5964
2657,1254,6089
2554,1249,6197
2472,1202,6326
2396,1155,6449
2316,1110,6574
2246,1077,6677
2188,1028,6784
2141,970,6889
2088,929,6983
2045,883,7072
1995,845,7160
1958,805,7237
1909,774,7317
1879,734,7387
1852,684,7464
1821,632,7547
1793,584,7623
1777,543,7680
1760,513,7727
1735,493,7772
1714,457,7829
1694,433,7873
1678,402,7920
1659,382,7959
1646,356,7998
1636,322,8042
1618,308,8074
1605,290,8105
1597,273,8130
1583,264,8153
1575,242,8183
1565,234,8201
1559,222,8219
1551,206,8243
1542,198,8260
1538,187,8275
1534,174,8292
1528,161,8311
1522,150,8328
1514,147,8339
1506,141,8353
1503,127,8370
1496,128,8376
1491,124,8385
1487,121,8392
1482,116,8402
1477,106,8417
1474,96,8430
1472,85,8443
1470,81,8449
1467,75,8458
1466,68,8466
1464,66,8470
1463,63,8474
1462,56,8482
1462,54,8484
1461,52,8487
1459,47,8494
1458,41,8501
1458,36,8506
1457,35,8508
1457,31,8512
1456,30,8514
1454,28,8518
1453,27,8520
1453,22,8525
1451,23,8526
1449,22,8529
1448,22,8530
1448,17,8535
1448,11,8541
1448,9,8543
1447,9,8544
1446,10,8544
1446,9,8545
1446,9,8545
1446,8,8546
1446,7,8547
1446,7,8547
1446,7,8547
1446,6,8548
1445,6,8549
1445,6,8549
1445,5,8550
1445,4,8551
1445,4,8551
1445,3,8552
1445,2,8553
1445,2,8553
1445,2,8553
1445,1,8554
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
1445,0,8555
