5,9500,500,45,65
5,9000,1000,48,85
5,8500,1500,47,99
5,8000,2000,47,79
5,7500,2500,45,80
5,7000,3000,44,77
5,6500,3500,44,97
5,6000,4000,42,89
5,5500,4500,41,88
5,5000,5000,43,85
5,4500,5500,40,87
5,4000,6000,42,105
5,3500,6500,40,107
5,3000,7000,42,95
5,2500,7500,35,88
5,2000,8000,34,87
5,1500,8500,34,97
5,1000,9000,31,87
5,500,9500,21,62


105,9500,500,48,45
105,9000,1000,47,60
105,8500,1500,47,55
105,8000,2000,46,61
105,7500,2500,44,56
105,7000,3000,44,56
105,6500,3500,43,62
105,6000,4000,42,64
105,5500,4500,41,61
105,5000,5000,41,63
105,4500,5500,43,63
105,4000,6000,43,64
105,3500,6500,37,64
105,3000,7000,37,59
105,2500,7500,33,58
105,2000,8000,31,54
105,1500,8500,37,58
105,1000,9000,33,55
105,500,9500,33,53


205,9500,500,43,45
205,9000,1000,43,49
205,8500,1500,46,48
205,8000,2000,44,52
205,7500,2500,42,49
205,7000,3000,43,57
205,6500,3500,41,52
205,6000,4000,40,52
205,5500,4500,37,51
205,5000,5000,39,54
205,4500,5500,39,54
205,4000,6000,41,54
205,3500,6500,40,55
205,3000,7000,40,54
205,2500,7500,33,51
205,2000,8000,33,51
205,1500,8500,37,48
205,1000,9000,37,50
205,500,9500,27,47


305,9500,500,43,41
305,9000,1000,45,43
305,8500,1500,48,47
305,8000,2000,45,48
305,7500,2500,45,54
305,7000,3000,41,46
305,6500,3500,40,48
305,6000,4000,45,53
305,5500,4500,43,50
305,5000,5000,41,50
305,4500,5500,42,51
305,4000,6000,40,52
305,3500,6500,37,52
305,3000,7000,39,54
305,2500,7500,36,49
305,2000,8000,32,46
305,1500,8500,27,44
305,1000,9000,36,47
305,500,9500,27,47


405,9500,500,42,35
405,9000,1000,45,40
405,8500,1500,43,39
405,8000,2000,42,40
405,7500,2500,44,44
405,7000,3000,44,49
405,6500,3500,40,46
405,6000,4000,39,46
405,5500,4500,40,46
405,5000,5000,39,47
405,4500,5500,41,49
405,4000,6000,37,49
405,3500,6500,35,52
405,3000,7000,35,48
405,2500,7500,35,51
405,2000,8000,33,47
405,1500,8500,30,43
405,1000,9000,28,43
405,500,9500,28,43


505,9500,500,41,32
505,9000,1000,44,39
505,8500,1500,44,40
505,8000,2000,42,37
505,7500,2500,47,43
505,7000,3000,44,40
505,6500,3500,44,40
505,6000,4000,41,43
505,5500,4500,40,41
505,5000,5000,41,45
505,4500,5500,39,45
505,4000,6000,40,45
505,3500,6500,40,44
505,3000,7000,39,44
505,2500,7500,40,44
505,2000,8000,37,44
505,1500,8500,34,44
505,1000,9000,27,41
505,500,9500,25,39


605,9500,500,40,34
605,9000,1000,40,37
605,8500,1500,41,38
605,8000,2000,43,40
605,7500,2500,43,42
605,7000,3000,43,43
605,6500,3500,43,43
605,6000,4000,40,41
605,5500,4500,40,43
605,5000,5000,40,44
605,4500,5500,38,44
605,4000,6000,39,50
605,3500,6500,38,40
605,3000,7000,34,44
605,2500,7500,34,43
605,2000,8000,38,45
605,1500,8500,31,41
605,1000,9000,31,42
605,500,9500,29,40


705,9500,500,40,34
705,9000,1000,40,36
705,8500,1500,40,38
705,8000,2000,39,39
705,7500,2500,42,43
705,7000,3000,41,43
705,6500,3500,41,43
705,6000,4000,41,43
705,5500,4500,40,44
705,5000,5000,38,40
705,4500,5500,39,40
705,4000,6000,38,40
705,3500,6500,37,40
705,3000,7000,38,44
705,2500,7500,37,43
705,2000,8000,33,43
705,1500,8500,32,41
705,1000,9000,32,43
705,500,9500,27,39


805,9500,500,38,29
805,9000,1000,39,35
805,8500,1500,39,35
805,8000,2000,42,40
805,7500,2500,42,38
805,7000,3000,42,37
805,6500,3500,42,40
805,6000,4000,38,40
805,5500,4500,39,38
805,5000,5000,40,38
805,4500,5500,38,39
805,4000,6000,37,42
805,3500,6500,36,41
805,3000,7000,35,43
805,2500,7500,33,42
805,2000,8000,36,42
805,1500,8500,33,42
805,1000,9000,34,42
805,500,9500,31,38


905,9500,500,40,38
905,9000,1000,38,35
905,8500,1500,41,36
905,8000,2000,41,39
905,7500,2500,41,37
905,7000,3000,41,39
905,6500,3500,41,42
905,6000,4000,41,38
905,5500,4500,38,39
905,5000,5000,38,42
905,4500,5500,41,41
905,4000,6000,38,42
905,3500,6500,40,41
905,3000,7000,37,40
905,2500,7500,38,43
905,2000,8000,38,41
905,1500,8500,36,44
905,1000,9000,32,41
905,500,9500,32,42


